Word with borrowing2	Full COGID
385 386	524
391 386	532
392 386	533
385 386	524
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
384	534
653	535
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
654	536
92	537
92	537
92	537
92	537
92	537
92	537
92	537
92	537
92	537
92	537
92	537
624	538
92	537
625	539
92	537
92	537
626	540
92	537
92	537
92	537
92	537
151	541
151	541
151	541
151	541
151	541
151	541
151	541
151	541
151 152	542
152 152	543
152	544
151	541
151	541
151	541
151	541
151	541
152	544
151	541
151	541
152	544
152	544
151	541
152	544
152	544
604 605	545
604 605	545
604 605	545
605	546
604 605	545
605	546
605	546
605	546
604 605	545
605	546
605	546
605	546
604 605	545
604 605	545
604 605	545
604 605	545
604 605	545
604 605	545
605	546
604 605	545
604	547
606 604	548
606	138
605	546
397	549
397	549
397	549
398	550
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
397	549
101	551
101	551
101	551
101	551
101	551
102	552
101	551
101	551
103	553
101	551
103	553
101	551
103	553
101	551
101	551
103	553
101	551
104	554
105	555
103	553
105	555
105	555
101	551
106	556
107	557
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135 135	560
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
135	559
199	561
199	561
200	562
201	563
199	561
199	561
199	561
199	561
199	561
202	564
203	565
199	561
199	561
203	565
199	561
203	565
199	561
203	565
203	565
204	566
203	565
203	565
199	561
203	565
203	565
507	567
507	567
508	568
507	567
507	567
507	567
507	567
298	569
509	313
507	567
507	567
507	567
510	570
511	571
512	312
510	570
507	567
507	567
507	567
507	567
510	570
510	570
507	567
513	572
507	567
514	573
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
639	574
688 243	575
688 243	575
689 243	576
688 243	575
688 243	575
688 243	575
688 243	575
688 21	577
688 243	575
688 243	575
688 243	575
690 245	578
688 243	575
688 243	575
688 243	575
688 244	579
688 243	575
688 243	575
691 243	580
688 243	575
688 245	581
243	582
504	583
504	583
504	583
504	583
504	583
504	583
504	583
504	583
504	583
504	583
504	583
504	583
